n,p,DPAvgValidPaths,DPAvgOptimalPaths,RecAvgValidPaths,RecAvgOptimalPaths
11,0.231405,793.500000,3.500000,793.500000,3.500000
11,0.239669,350.250000,8.250000,350.250000,8.250000
11,0.247934,49.000000,2.000000,49.000000,2.000000
11,0.256198,171.000000,4.000000,171.000000,4.000000
11,0.264463,260.333333,6.666667,260.333333,6.666667
11,0.272727,249.500000,1.500000,249.500000,1.500000
11,0.280992,37.500000,1.000000,37.500000,1.000000
11,0.289256,78.000000,4.500000,78.000000,4.500000
11,0.297521,1231.000000,1.000000,1231.000000,1.000000
11,0.305785,789.000000,8.000000,789.000000,8.000000
11,0.314050,8.000000,1.000000,8.000000,1.000000
11,0.322314,0.000000,0.000000,0.000000,0.000000
11,0.330579,28.000000,2.000000,28.000000,2.000000
11,0.338843,16.000000,2.000000,16.000000,2.000000
11,0.347107,87.666667,2.000000,87.666667,2.000000
11,0.355372,744.000000,6.000000,744.000000,6.000000
11,0.363636,11.000000,1.000000,11.000000,1.000000
11,0.371901,4.000000,2.000000,4.000000,2.000000
11,0.380165,18.000000,2.000000,18.000000,2.000000
11,0.388430,0.000000,0.000000,0.000000,0.000000
11,0.396694,0.000000,0.000000,0.000000,0.000000
11,0.404959,99.000000,1.000000,99.000000,1.000000
11,0.413223,0.000000,0.000000,0.000000,0.000000
11,0.421488,0.000000,0.000000,0.000000,0.000000
11,0.429752,0.000000,0.000000,0.000000,0.000000
11,0.438017,0.000000,0.000000,0.000000,0.000000
11,0.446281,0.000000,0.000000,0.000000,0.000000
11,0.454545,0.000000,0.000000,0.000000,0.000000
11,0.462810,0.000000,0.000000,0.000000,0.000000
11,0.471074,0.000000,0.000000,0.000000,0.000000
11,0.479339,0.000000,0.000000,0.000000,0.000000
11,0.487603,0.000000,0.000000,0.000000,0.000000
11,0.495868,0.000000,0.000000,0.000000,0.000000
11,0.504132,0.000000,0.000000,0.000000,0.000000
11,0.512397,0.000000,0.000000,0.000000,0.000000
11,0.520661,0.000000,0.000000,0.000000,0.000000
11,0.528926,0.000000,0.000000,0.000000,0.000000
11,0.537190,0.000000,0.000000,0.000000,0.000000
11,0.545455,0.000000,0.000000,0.000000,0.000000
11,0.553719,0.000000,0.000000,0.000000,0.000000
11,0.561983,0.000000,0.000000,0.000000,0.000000
11,0.570248,0.000000,0.000000,0.000000,0.000000
11,0.578512,0.000000,0.000000,0.000000,0.000000
11,0.586777,0.000000,0.000000,0.000000,0.000000
11,0.595041,0.000000,0.000000,0.000000,0.000000
11,0.603306,0.000000,0.000000,0.000000,0.000000
11,0.611570,0.000000,0.000000,0.000000,0.000000
11,0.619835,0.000000,0.000000,0.000000,0.000000
11,0.628099,0.000000,0.000000,0.000000,0.000000
11,0.636364,0.000000,0.000000,0.000000,0.000000
11,0.644628,0.000000,0.000000,0.000000,0.000000
11,0.652893,0.000000,0.000000,0.000000,0.000000
11,0.661157,0.000000,0.000000,0.000000,0.000000
11,0.669421,0.000000,0.000000,0.000000,0.000000
11,0.677686,0.000000,0.000000,0.000000,0.000000
11,0.685950,0.000000,0.000000,0.000000,0.000000
11,0.694215,0.000000,0.000000,0.000000,0.000000
11,0.702479,0.000000,0.000000,0.000000,0.000000
11,0.710744,0.000000,0.000000,0.000000,0.000000
11,0.719008,0.000000,0.000000,0.000000,0.000000
11,0.727273,0.000000,0.000000,0.000000,0.000000
11,0.735537,0.000000,0.000000,0.000000,0.000000
11,0.743802,0.000000,0.000000,0.000000,0.000000
11,0.752066,0.000000,0.000000,0.000000,0.000000
11,0.760331,0.000000,0.000000,0.000000,0.000000
11,0.768595,0.000000,0.000000,0.000000,0.000000
11,0.776860,0.000000,0.000000,0.000000,0.000000
11,0.785124,0.000000,0.000000,0.000000,0.000000
11,0.793388,0.000000,0.000000,0.000000,0.000000
11,0.801653,0.000000,0.000000,0.000000,0.000000
11,0.809917,0.000000,0.000000,0.000000,0.000000
11,0.818182,0.000000,0.000000,0.000000,0.000000
11,0.826446,0.000000,0.000000,0.000000,0.000000
11,0.834711,0.000000,0.000000,0.000000,0.000000
11,0.842975,0.000000,0.000000,0.000000,0.000000
11,0.851240,0.000000,0.000000,0.000000,0.000000
11,0.859504,0.000000,0.000000,0.000000,0.000000
